DEPTH,TVDSS,GR,RT,NPHI,RHOB,VCALCITE,VQUARTZ,VSH,VCOAL,VORGSH,VGAS,VOIL,VWATER,PHIT,PHIE,SWE,PERM,LITHO,FLUID,Wells
3286.0,3061.5989,67.1979,2.0981,0.4195,2.1571,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3286.5,3062.0716,67.6348,2.2414,0.4413,2.1581,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3287.0,3062.5443,72.0894,1.9557,0.4743,2.1548,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3287.5,3063.017,70.7293,1.7954,0.4817,2.1304,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3288.0,3063.4896,69.2972,1.1592,0.4673,2.0641,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3288.5,3063.9623,70.826,1.2408,0.4741,1.9942,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3289.0,3064.4349,70.7934,1.3697,0.505,1.9719,0.0,0.130402,0.5519,0.0,0.0,0.016787,0.112765,0.188183,0.317735,0.13841,0.5923,0.289,6.0,,SH-15
3289.5,3064.9075,73.6957,1.2011,0.5244,1.9927,0.0,0.112368,0.5775,0.0,0.0,0.004497,0.111056,0.194587,0.31014,0.128964,0.6274,0.1852,6.0,,SH-15
3290.0,3065.38,73.1033,1.1891,0.5217,2.0167,0.0,0.128568,0.5713,0.0,0.0,0.0,0.107085,0.192997,0.300082,0.131215,0.6431,0.2065,6.0,,SH-15
3290.5,3065.8526,72.0408,1.149,0.5212,2.0194,0.0,0.137407,0.5622,0.0,0.0,0.0,0.102563,0.197846,0.300409,0.134587,0.6586,0.2423,6.0,,SH-15
3291.0,3066.3251,72.2701,1.0935,0.5286,2.0001,0.0,0.12381,0.5651,0.0,0.0,0.0,0.104925,0.206193,0.311117,0.13352,0.6627,0.2305,6.0,,SH-15
3291.5,3066.7976,74.7833,1.0597,0.5158,1.969,0.0,0.094983,0.5885,0.0,0.0,0.019548,0.089214,0.207792,0.316554,0.124948,0.6564,0.1518,6.0,,SH-15
3292.0,3067.2701,74.1246,1.1062,0.4919,1.9496,0.0,0.098381,0.5827,0.0,0.0,0.038285,0.075574,0.205025,0.318884,0.127036,0.6429,0.1685,6.0,,SH-15
3292.5,3067.7425,73.4946,1.2587,0.4919,1.9809,0.0,0.118363,0.5751,0.0,0.0,0.025988,0.091344,0.189198,0.30653,0.129826,0.6172,0.1932,6.0,,SH-15
3293.0,3068.215,75.3972,1.2082,0.5219,2.0465,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3293.5,3068.6874,72.634,1.0338,0.5712,2.0709,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3294.0,3069.1598,65.4596,1.1593,0.6126,2.0232,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3294.5,3069.6322,65.2308,1.2467,0.6085,1.9494,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3295.0,3070.1045,68.5073,1.0671,0.5795,1.9123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3295.5,3070.5768,73.4455,0.9286,0.5734,1.934,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3296.0,3071.0491,78.3275,0.8803,0.5813,1.994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3296.5,3071.5214,78.4574,1.0681,0.5571,2.0581,0.0,0.103127,0.623,0.0,0.0,0.0,0.087571,0.186271,0.273842,0.112444,0.6802,0.0782,6.0,,SH-15
3297.0,3071.9937,77.5009,1.1832,0.5124,2.1091,0.0,0.145791,0.6087,0.0,0.0,0.0,0.077816,0.16768,0.245496,0.117586,0.683,0.1036,6.0,,SH-15
3297.5,3072.4659,73.9078,1.1978,0.4895,2.1351,0.0,0.189965,0.5746,0.0,0.0,0.0,0.068347,0.167039,0.235386,0.129973,0.7096,0.1946,6.0,,SH-15
3298.0,3072.9381,74.7189,1.258,0.4773,2.1285,0.0,0.183217,0.5798,0.0,0.0,0.0,0.07408,0.162892,0.236972,0.128081,0.6874,0.1774,6.0,,SH-15
3298.5,3073.4103,70.7188,1.4293,0.4637,2.1072,0.0,0.205264,0.5432,0.0,0.0,0.0,0.088393,0.163187,0.25158,0.1416,0.6486,0.3335,6.0,,SH-15
3299.0,3073.8825,73.7471,1.4736,0.4635,2.0992,0.0,0.179382,0.5693,0.0,0.0,0.000894,0.09335,0.157081,0.251325,0.131933,0.625,0.2138,6.0,,SH-15
3299.5,3074.3546,75.1996,1.3822,0.4761,2.108,0.0,0.170194,0.5836,0.0,0.0,0.0,0.087795,0.158444,0.24624,0.126702,0.6435,0.1657,6.0,,SH-15
3300.0,3074.8268,76.0212,1.1791,0.4954,2.1153,0.0,0.162868,0.5936,0.0,0.0,0.0,0.074427,0.169136,0.243563,0.123057,0.6944,0.1379,6.0,,SH-15
